Day,TotalInfected,TotalCovered,ActiveInfected,TotalTestCount,TotalDeath,NewlyInfected,NewlyCovered,TodayTestCount,TodayDeath
2020-06-09,8191,4606,3487,349200,98,315,229,5809,5
2020-06-10,8530,4720,3709,356032,101,339,114,6832,3
2020-06-11,8882,4930,3844,362654,108,352,210,6622,6
2020-06-12,9218,5113,3992,368254,113,336,183,5600,5
2020-06-13,9570,5309,4146,375759,115,352,196,7505,2
2020-06-14,9957,5583,4255,381846,119,387,274,6087,4
2020-06-15,10324,5739,4463,386898,122,367,156,5052,3
2020-06-16,10662,5948,4588,391699,126,338,209,4801,4
2020-06-17,10991,6075,4783,397399,133,329,127,5700,7
2020-06-18,11329,6192,4998,403499,139,338,117,6100,6
2020-06-19,11767,6325,5299,410475,143,438,133,6976,4
2020-06-20,12238,6516,5574,417102,148,471,191,6627,5
2020-06-21,12729,6799,5776,422049,154,491,283,4947,6
2020-06-22,13207,7168,5878,426394,161,478,369,4345,7
2020-06-23,13715,7503,6045,432858,167,508,335,6464,6
2020-06-24,14305,7768,6363,441961,174,590,265,9103,7
2020-06-25,14852,8059,6613,449235,180,547,291,7274,6
2020-06-26,15369,8364,6818,456215,187,517,305,6980,7
2020-06-27,15890,8719,6978,461861,193,521,355,5646,6
2020-06-28,16424,9026,7200,468967,198,534,307,7106,5
2020-06-29,16968,9369,7393,475525,206,544,343,6558,8
2020-06-30,17524,9715,7596,482170,213,556,346,6645,7
2020-07-01,18112,10061,7831,488852,220,588,346,6682,7
2020-07-02,18684,10425,8031,495828,228,572,364,6976,8
2020-07-03,19267,10820,8212,502965,235,583,395,7137,7
2020-07-04,19801,11291,8269,509811,241,534,471,6846,6
2020-07-05,20324,11742,8332,516533,250,523,451,6722,9
2020-07-06,20837,12182,8397,522773,258,513,440,6240,8
2020-07-07,21374,12635,8474,529875,265,537,453,7102,7
2020-07-08,21916,13100,8542,537230,274,542,465,7355,9
2020-07-09,22464,13591,8589,544735,284,548,491,7505,10
2020-07-10,22990,14093,8605,552311,292,526,502,7576,8
2020-07-11,23521,14607,8616,560356,298,531,514,8045,6
2020-07-12,24041,15093,8642,568234,306,520,486,7878,8
2020-07-13,24570,15640,8617,576249,313,529,547,8015,7
2020-07-14,25113,16150,8644,584466,319,543,510,8217,6
2020-07-15,25672,16695,8651,592778,326,559,545,8312,7
2020-07-16,26165,17256,8575,601500,334,493,561,8722,8
2020-07-17,26636,17805,8490,610523,341,471,549,9023,7
2020-07-18,27133,18450,8334,619786,349,497,645,9263,8
2020-07-19,27521,18967,8200,627881,354,388,517,8095,5
2020-07-20,27890,19490,8037,634698,363,369,523,6817,9
2020-07-21,28242,19939,7927,641732,376,352,449,7034,13
2020-07-22,28633,20443,7805,649953,385,391,504,8221,9
2020-07-23,28980,20974,7615,658782,391,347,531,8829,6
2020-07-24,29312,21547,7365,667819,400,332,573,9037,9
2020-07-25,29633,22082,7143,676252,408,321,535,8433,8
2020-07-26,30050,22684,6949,683548,417,417,602,7296,9
2020-07-27,30446,23242,6781,690386,423,396,558,6838,6
2020-07-28,30858,23873,6555,698815,430,412,631,8429,7
2020-07-29,31221,24495,6288,708632,438,363,622,9817,8
2020-07-31,31878,25882,5548,724953,448,318,714,7789,7
2020-08-01,32157,26474,5229,732236,454,279,592,7283,6
2020-08-02,32443,27113,4868,738963,462,286,639,6727,8
2020-08-03,32684,27760,4456,744837,468,241,647,5874,6
2020-08-04,32910,28348,4089,751246,473,226,588,6409,5
2020-08-05,33103,28840,3787,759129,476,193,492,7883,3
2020-08-06,33247,29275,3493,766179,479,144,435,7050,3
2020-08-07,33376,29696,3197,773051,483,129,421,6872,4
2020-08-08,33481,30056,2937,779508,488,105,360,6457,5
2020-08-09,33568,30364,2714,785126,490,87,308,5618,2
2020-08-10,33647,30642,2513,790141,492,79,278,5015,2
2020-08-11,33731,30856,2380,796459,495,84,214,6318,3
2020-08-12,33824,31058,2269,804513,497,93,202,8054,2
2020-08-13,33915,31269,2146,812033,500,91,211,7520,3
2020-08-14,34018,31490,2024,820002,504,103,221,7969,4
2020-08-15,34107,31697,1904,826043,506,89,207,6041,2
2020-08-16,34219,31875,1838,831755,506,112,178,5712,0
2020-08-17,34343,32042,1793,836908,508,124,167,5153,2
2020-08-18,34474,32201,1764,843269,509,131,159,6361,1
2020-08-19,34620,32363,1747,849628,510,146,162,6359,1
2020-08-20,34759,32511,1738,855802,510,139,148,6174,0
2020-08-21,34921,32682,1727,861788,512,162,171,5986,2
2020-08-22,35105,32842,1748,868345,515,184,160,6557,3
2020-08-23,35274,32993,1763,873777,518,169,151,5432,3
2020-08-24,35426,33104,1803,878667,519,152,111,4890,1
2020-08-25,35559,33190,1848,885279,521,133,86,6612,2
2020-08-26,35707,33281,1904,892070,522,148,91,6791,1
2020-08-27,35844,33364,1956,898492,524,137,83,6422,2
2020-08-28,35986,33461,1998,904506,527,142,97,6014,3
2020-08-29,36174,33576,2069,910890,529,188,115,6384,2
2020-08-30,36309,33703,2075,917027,531,135,127,6137,2
2020-08-31,36435,33847,2054,922069,534,126,144,5042,3
2020-09-01,36578,33977,2065,928666,536,143,130,6597,2
2020-09-02,36732,34116,2078,935396,538,154,139,6730,2
2020-09-03,36899,34264,2094,942265,541,167,148,6869,3
2020-09-04,37031,34419,2069,949313,543,132,155,7048,2
